#Variables:
#rsds_CCSM4_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2M_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2G_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_HadGEM2-CC365_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_MIROC5_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_NorESM1-M_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3384, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_rsds_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,rsds_CCSM4_rcp45(Wm-2),rsds_GFDL-ESM2M_rcp45(Wm-2),rsds_GFDL-ESM2G_rcp45(Wm-2),rsds_HadGEM2-CC365_rcp45(Wm-2),rsds_MIROC5_rcp45(Wm-2),rsds_NorESM1-M_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2)"
""
yyyy-mm-dd,rsds_CCSM4_rcp45(Wm-2),rsds_GFDL-ESM2M_rcp45(Wm-2),rsds_GFDL-ESM2G_rcp45(Wm-2),rsds_HadGEM2-CC365_rcp45(Wm-2),rsds_MIROC5_rcp45(Wm-2),rsds_NorESM1-M_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2)
2006-02-28,156.907791,105.536530,153.296631,106.540222,178.981430,142.330032,150.361679,150.361679,150.361679,150.361679
2006-03-01,117.154938,102.849800,178.950333,117.884834,64.886108,180.284058,123.934891,123.934891,123.934891,123.934891
2006-03-02,203.533417,117.923042,95.495544,132.713181,124.610924,192.811539,159.125412,159.125412,159.125412,159.125412
2006-03-03,131.591537,149.997467,166.138199,161.702423,147.411560,199.973129,204.510666,204.510666,204.510666,204.510666
2006-03-04,208.224777,162.153915,195.020935,182.196304,160.032455,201.695435,204.964676,204.964676,204.964676,204.964676
2006-03-05,207.606949,99.163956,141.242416,174.753479,128.535156,199.861023,153.261917,153.261917,153.261917,153.261917
2006-03-06,167.070648,132.796997,100.359566,193.767303,141.070099,177.799713,210.872391,210.872391,210.872391,210.872391
2006-03-07,212.790192,178.227097,193.128418,194.291931,114.064308,182.455688,167.082367,167.082367,167.082367,167.082367
2006-03-08,213.066467,99.485298,176.185532,160.777298,125.280968,188.855225,169.994598,169.994598,169.994598,169.994598
2006-03-09,220.071884,103.120293,203.896820,92.606705,124.514503,161.054367,190.814377,190.814377,190.814377,190.814377
2006-03-10,209.420593,164.795151,195.100342,131.028305,190.297089,144.692154,190.143646,190.143646,190.143646,190.143646
2006-03-11,142.762848,184.410172,198.671646,201.832138,126.491875,152.303864,219.073242,219.073242,219.073242,219.073242
2006-03-12,148.885422,205.576141,213.905685,194.151413,181.325867,155.208801,219.220886,219.220886,219.220886,219.220886
2006-03-13,189.232559,195.837387,214.121460,160.656021,133.278595,214.524048,204.025146,204.025146,204.025146,204.025146
2006-03-14,134.063080,184.418259,208.887894,149.747406,132.474380,215.085678,203.350037,203.350037,203.350037,203.350037
2006-03-15,147.645493,131.434830,119.497192,67.727455,151.842010,217.303162,216.219620,216.219620,216.219620,216.219620
2006-03-16,179.468521,127.858315,177.285675,100.254379,215.300125,205.673874,105.644600,105.644600,105.644600,105.644600
2006-03-17,174.238098,172.854111,169.352402,159.901138,206.924606,204.633850,170.773422,170.773422,170.773422,170.773422
2006-03-18,214.639725,233.492233,132.964493,209.801727,161.031342,179.243866,175.474197,175.474197,175.474197,175.474197
2006-03-19,224.397903,148.260178,211.934113,223.510941,149.643936,179.365570,162.695511,162.695511,162.695511,162.695511
2006-03-20,220.332718,133.929993,121.697632,220.440384,135.937637,189.824860,164.048126,164.048126,164.048126,164.048126
2006-03-21,195.630173,214.488953,183.217560,222.564835,186.161407,125.876091,155.237350,155.237350,155.237350,155.237350
2006-03-22,191.942551,169.594330,121.453468,194.615128,92.727249,117.063522,224.372513,224.372513,224.372513,224.372513
2006-03-23,213.318619,224.262726,194.361298,201.161545,178.519745,185.799637,203.806717,203.806717,203.806717,203.806717
2006-03-24,248.106033,119.587288,242.799606,229.711517,236.444839,169.531845,191.413712,191.413712,191.413712,191.413712
2006-03-25,263.347107,177.141876,150.885895,143.329605,181.899551,178.843048,188.802170,188.802170,188.802170,188.802170
2006-03-26,264.204498,195.514938,224.359955,106.660759,218.357559,175.914246,181.078964,181.078964,181.078964,181.078964
2006-03-27,264.367096,263.994812,259.294647,120.343147,225.175766,171.551804,170.998871,170.998871,170.998871,170.998871
2006-03-28,262.469086,228.431259,244.642563,187.773178,204.161575,139.782043,192.258606,192.258606,192.258606,192.258606
2006-03-29,265.735779,239.854111,263.018433,254.843964,254.042206,146.158768,188.426178,188.426178,188.426178,188.426178
2006-03-30,269.455902,156.372177,260.157745,254.920425,262.399323,199.582809,165.870270,165.870270,165.870270,165.870270
2006-03-31,267.271393,90.989891,249.796234,253.521851,247.117844,208.034943,189.228973,189.228973,189.228973,189.228973
2006-04-01,229.772278,185.163422,138.351151,207.974258,269.805359,214.090561,129.611832,129.611832,129.611832,129.611832
2006-04-02,246.053604,213.411484,202.968750,263.518585,187.108658,124.992996,164.201294,164.201294,164.201294,164.201294
2006-04-03,283.409454,199.497284,221.942337,278.188171,227.218353,137.352432,242.718521,242.718521,242.718521,242.718521
2006-04-04,262.126282,100.959290,252.722015,281.823456,219.940353,102.154762,267.358093,267.358093,267.358093,267.358093
2006-04-05,244.590942,194.453003,151.609100,264.291962,219.692734,154.381454,213.608490,213.608490,213.608490,213.608490
2006-04-06,226.065643,279.765076,203.132919,242.822083,240.639267,226.425735,167.471161,167.471161,167.471161,167.471161
2006-04-07,277.247284,213.724915,272.995117,233.188675,165.827271,227.682098,180.659256,180.659256,180.659256,180.659256
2006-04-08,267.802185,111.314682,273.983582,259.560333,172.122421,231.717651,207.202942,207.202942,207.202942,207.202942
2006-04-09,280.044006,183.979324,206.925903,205.973969,245.197632,227.477646,184.934952,184.934952,184.934952,184.934952
2006-04-10,274.021698,230.491531,134.558487,128.391556,214.193375,215.093231,226.671265,226.671265,226.671265,226.671265
2006-04-11,212.989594,219.633804,212.574646,185.350998,268.481995,185.188461,290.351593,290.351593,290.351593,290.351593
2006-04-12,191.705826,228.071411,233.691223,264.382080,264.922089,192.386826,294.505707,294.505707,294.505707,294.505707
2006-04-13,287.405884,196.759659,246.844971,271.863373,274.386627,202.560165,284.049316,284.049316,284.049316,284.049316
2006-04-14,235.966614,262.301453,273.139587,267.220459,269.575439,235.932281,191.296188,191.296188,191.296188,191.296188
2006-04-15,249.668320,255.155304,275.330719,194.672989,122.322037,271.333801,294.700500,294.700500,294.700500,294.700500
2006-04-16,279.250366,193.978836,243.746765,171.182663,257.464142,274.653290,301.524231,301.524231,301.524231,301.524231
2006-04-17,231.968948,212.499481,297.389954,208.716156,295.303375,268.063538,234.951462,234.951462,234.951462,234.951462
2006-04-18,251.062469,287.913208,273.795563,199.945999,242.292511,234.647385,241.933212,241.933212,241.933212,241.933212
2006-04-19,240.320389,206.800522,288.100403,208.394516,147.944290,290.193390,211.307892,211.307892,211.307892,211.307892
2006-04-20,205.783432,208.341202,175.754623,223.793503,282.707550,207.032028,253.968872,253.968872,253.968872,253.968872
2006-04-21,189.914154,229.401505,255.813782,208.381668,208.610199,169.596863,281.763092,281.763092,281.763092,281.763092
2006-04-22,301.795380,137.228775,280.906403,188.381088,272.469666,204.723709,314.415100,314.415100,314.415100,314.415100
2006-04-23,228.464996,235.768738,253.775009,225.512314,193.106186,255.233734,260.223480,260.223480,260.223480,260.223480
2006-04-24,196.049988,188.799301,229.871628,268.668091,240.916565,276.038055,257.303040,257.303040,257.303040,257.303040
2006-04-25,299.697845,257.656738,175.933365,266.089050,276.719696,279.411499,294.452148,294.452148,294.452148,294.452148
2006-04-26,302.581268,273.865234,146.823807,167.790741,297.406158,268.132721,283.916840,283.916840,283.916840,283.916840
2006-04-27,273.016205,205.454147,207.132294,150.467407,317.744873,249.659851,297.620911,297.620911,297.620911,297.620911
2006-04-28,261.695496,271.726837,236.831604,255.623291,300.344482,228.384201,310.974609,310.974609,310.974609,310.974609
2006-04-29,269.181396,297.540710,299.878876,262.654999,288.052643,234.613022,288.904816,288.904816,288.904816,288.904816
2006-04-30,308.385162,305.421936,305.505402,233.543518,266.536987,217.170364,307.610229,307.610229,307.610229,307.610229
2006-05-01,316.750885,228.878769,262.915192,282.766937,249.570984,275.281586,332.818146,332.818146,332.818146,332.818146
2006-05-02,307.226898,205.602798,222.361679,252.699493,272.773987,292.334412,324.876831,324.876831,324.876831,324.876831
2006-05-03,304.017212,238.647568,209.690704,175.052338,312.066345,243.575775,319.748260,319.748260,319.748260,319.748260
2006-05-04,295.558441,242.424118,175.580826,219.231003,248.268951,296.313232,321.801941,321.801941,321.801941,321.801941
2006-05-05,288.765350,174.580490,287.182800,319.737061,224.863922,298.938599,326.840302,326.840302,326.840302,326.840302
2006-05-06,234.916718,200.155502,290.175110,271.652588,293.627533,330.431244,320.348022,320.348022,320.348022,320.348022
2006-05-07,290.219666,164.988876,216.765472,178.364609,320.652069,330.589417,328.540070,328.540070,328.540070,328.540070
2006-05-08,324.262390,145.573181,288.480042,256.532532,313.048248,318.754578,322.292542,322.292542,322.292542,322.292542
2006-05-09,327.251160,158.365891,319.708954,199.826401,332.334412,315.880432,304.311249,304.311249,304.311249,304.311249
