#Variables:
#tasmax_CCSM4_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC5_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_CCSM4_rcp85(K),tasmax_GFDL-ESM2M_rcp85(K),tasmax_GFDL-ESM2G_rcp85(K),tasmax_HadGEM2-CC365_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K)"
""
yyyy-mm-dd,tasmax_CCSM4_rcp85(K),tasmax_GFDL-ESM2M_rcp85(K),tasmax_GFDL-ESM2G_rcp85(K),tasmax_HadGEM2-CC365_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K)
2006-03-06,287.981049,290.114685,284.464264,288.409882,287.013367,288.143585,282.975800,282.975800,282.975800,282.975800
2006-03-07,290.069427,290.582458,290.727905,287.663025,290.696594,286.650696,284.199310,284.199310,284.199310,284.199310
2006-03-08,291.714203,293.675964,290.748901,286.407196,290.139069,285.902771,284.540924,284.540924,284.540924,284.540924
2006-03-09,290.479492,295.485260,289.299805,289.370636,288.160370,286.147400,287.709747,287.709747,287.709747,287.709747
2006-03-10,287.824066,296.066467,287.632019,290.567291,286.148071,287.127228,288.687744,288.687744,288.687744,288.687744
2006-03-11,283.668457,295.806854,284.682739,291.484497,286.700104,287.275177,289.624115,289.624115,289.624115,289.624115
2006-03-12,281.409851,295.497986,282.572693,292.104645,290.959625,287.322174,288.115326,288.115326,288.115326,288.115326
2006-03-13,281.246521,295.590973,281.181244,291.106232,290.613129,286.971924,289.885681,289.885681,289.885681,289.885681
2006-03-14,284.579651,293.277557,283.215668,289.197998,288.890564,286.256958,293.113098,293.113098,293.113098,293.113098
2006-03-15,282.436005,291.584229,284.664886,286.868103,288.115448,288.703064,295.519470,295.519470,295.519470,295.519470
2006-03-16,285.312286,288.940002,286.237762,287.107880,285.838165,288.323090,294.818085,294.818085,294.818085,294.818085
2006-03-17,289.449249,291.777496,280.620697,284.870087,285.576019,288.161072,289.183228,289.183228,289.183228,289.183228
2006-03-18,289.400970,291.110870,277.453949,281.199158,289.821533,288.141602,294.615784,294.615784,294.615784,294.615784
2006-03-19,287.770569,288.376343,280.754639,285.656342,289.706421,287.405182,295.932678,295.932678,295.932678,295.932678
2006-03-20,288.960419,290.005005,286.335724,294.357330,289.502838,287.451385,294.338257,294.338257,294.338257,294.338257
2006-03-21,288.504181,294.391357,285.402527,295.655548,289.479034,286.542480,290.477814,290.477814,290.477814,290.477814
2006-03-22,287.860626,293.275055,280.975861,294.285309,288.465179,283.015778,289.715912,289.715912,289.715912,289.715912
2006-03-23,283.772217,291.025421,278.885681,291.844116,287.695587,285.340149,289.915527,289.915527,289.915527,289.915527
2006-03-24,289.737640,291.779022,280.499786,290.368805,287.147919,289.727417,287.251678,287.251678,287.251678,287.251678
2006-03-25,292.488037,293.103394,284.994751,289.031830,285.843689,289.216492,284.586365,284.586365,284.586365,284.586365
2006-03-26,294.148132,295.628540,292.415222,284.949066,285.649353,285.497955,288.184570,288.184570,288.184570,288.184570
2006-03-27,296.044067,297.075165,294.957886,287.059418,284.107880,283.485535,290.047394,290.047394,290.047394,290.047394
2006-03-28,298.397766,297.270233,295.748260,292.267212,285.819214,280.638855,290.410309,290.410309,290.410309,290.410309
2006-03-29,298.174835,297.873505,296.882538,294.995850,287.595520,282.206696,288.423920,288.423920,288.423920,288.423920
2006-03-30,294.568878,298.155121,297.176422,294.909302,291.047852,283.953278,288.774933,288.774933,288.774933,288.774933
2006-03-31,290.627319,297.850983,295.431122,295.496582,290.905762,288.526428,289.536163,289.536163,289.536163,289.536163
2006-04-01,289.901825,296.146515,292.228088,294.134247,292.764404,290.973053,291.610779,291.610779,291.610779,291.610779
2006-04-02,288.958893,297.606567,290.827209,297.554718,296.922241,292.187103,290.922058,290.922058,290.922058,290.922058
2006-04-03,287.791290,299.872406,288.666992,296.272949,296.578125,294.331482,285.802673,285.802673,285.802673,285.802673
2006-04-04,287.887390,299.927826,284.382202,288.834625,293.601898,294.133606,281.350861,281.350861,281.350861,281.350861
2006-04-05,287.602264,299.115143,283.390869,282.442810,290.353210,293.970428,280.915955,280.915955,280.915955,280.915955
2006-04-06,280.505341,297.975281,283.785309,288.647461,286.442993,293.787354,285.107574,285.107574,285.107574,285.107574
2006-04-07,279.108154,297.031952,283.523682,295.063538,285.127777,294.283783,287.595612,287.595612,287.595612,287.595612
2006-04-08,285.273224,296.345184,286.550049,294.843903,285.585327,294.005737,287.399292,287.399292,287.399292,287.399292
2006-04-09,289.723663,296.996216,292.715698,292.079651,288.615173,295.119690,286.617096,286.617096,286.617096,286.617096
2006-04-10,290.229156,295.141418,291.726044,292.952972,287.881409,295.162720,288.308746,288.308746,288.308746,288.308746
2006-04-11,290.916962,284.656464,287.378845,292.659058,284.922546,290.971436,292.243866,292.243866,292.243866,292.243866
2006-04-12,285.050476,283.118561,290.888763,294.058777,285.825226,291.606537,294.871582,294.871582,294.871582,294.871582
2006-04-13,287.453217,285.205688,291.151642,299.902313,284.927856,293.192810,295.671814,295.671814,295.671814,295.671814
2006-04-14,289.232697,286.913818,284.835754,303.752014,290.616547,292.618622,294.545654,294.545654,294.545654,294.545654
2006-04-15,287.381165,288.862854,283.984741,302.932037,294.917725,291.115570,291.867218,291.867218,291.867218,291.867218
2006-04-16,285.005524,287.495270,283.702209,302.136963,296.427765,293.684448,291.299896,291.299896,291.299896,291.299896
2006-04-17,285.714752,290.206238,288.758301,302.828125,297.715820,293.768311,291.904968,291.904968,291.904968,291.904968
2006-04-18,287.466034,291.704468,290.361877,298.288147,298.759216,290.678223,292.092834,292.092834,292.092834,292.092834
2006-04-19,291.084625,295.127625,290.403503,296.259338,296.638733,292.583344,290.591736,290.591736,290.591736,290.591736
2006-04-20,293.196869,297.199768,292.294128,298.064606,292.755798,292.372406,292.080536,292.080536,292.080536,292.080536
2006-04-21,292.409760,297.239655,298.138214,299.586884,288.359863,288.950806,291.608246,291.608246,291.608246,291.608246
2006-04-22,292.950378,296.480957,298.109222,298.763062,290.819550,286.219482,287.699463,287.699463,287.699463,287.699463
2006-04-23,292.807770,292.812866,292.531281,297.910004,295.599152,283.526611,286.472778,286.472778,286.472778,286.472778
2006-04-24,296.708344,291.171570,286.043915,296.620422,300.323303,285.236633,287.956818,287.956818,287.956818,287.956818
2006-04-25,296.832123,291.594849,281.965759,296.533112,301.818848,287.288025,288.276825,288.276825,288.276825,288.276825
2006-04-26,294.196808,297.407166,282.013275,298.041931,302.115143,287.193359,289.778198,289.778198,289.778198,289.778198
2006-04-27,294.045624,299.180115,285.250061,297.794037,301.042175,286.886932,290.319550,290.319550,290.319550,290.319550
2006-04-28,298.775330,298.515533,288.839447,296.497559,299.463867,286.177002,290.345673,290.345673,290.345673,290.345673
2006-04-29,301.882996,300.320404,292.761536,295.139771,287.044250,285.887787,289.987976,289.987976,289.987976,289.987976
2006-04-30,301.300415,304.682678,293.154877,294.778900,287.990875,287.446442,291.707153,291.707153,291.707153,291.707153
2006-05-01,297.176422,303.645172,290.085358,295.389648,287.721741,291.497314,289.876648,289.876648,289.876648,289.876648
2006-05-02,294.563873,304.065735,292.888763,292.998199,291.456238,291.508392,291.115692,291.115692,291.115692,291.115692
2006-05-03,286.966858,304.369507,295.098022,285.646576,296.130707,292.171295,291.664185,291.664185,291.664185,291.664185
