#Variables:
#tasmin_CCSM4_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_GFDL-ESM2M_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_GFDL-ESM2G_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_HadGEM2-CC365_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_MIROC5_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_NorESM1-M_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp45(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3384, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmin_CCSM4_rcp45(K),tasmin_GFDL-ESM2M_rcp45(K),tasmin_GFDL-ESM2G_rcp45(K),tasmin_HadGEM2-CC365_rcp45(K),tasmin_MIROC5_rcp45(K),tasmin_NorESM1-M_rcp45(K),tasmin_bcc-csm1-1_rcp45(K),tasmin_bcc-csm1-1_rcp45(K),tasmin_bcc-csm1-1_rcp45(K),tasmin_bcc-csm1-1_rcp45(K)"
""
yyyy-mm-dd,tasmin_CCSM4_rcp45(K),tasmin_GFDL-ESM2M_rcp45(K),tasmin_GFDL-ESM2G_rcp45(K),tasmin_HadGEM2-CC365_rcp45(K),tasmin_MIROC5_rcp45(K),tasmin_NorESM1-M_rcp45(K),tasmin_bcc-csm1-1_rcp45(K),tasmin_bcc-csm1-1_rcp45(K),tasmin_bcc-csm1-1_rcp45(K),tasmin_bcc-csm1-1_rcp45(K)
2006-02-24,261.314514,267.408142,272.240265,269.859650,276.128021,274.613312,267.426025,267.426025,267.426025,267.426025
2006-02-25,265.497131,267.798035,273.251343,266.158234,271.331879,275.605835,261.272736,261.272736,261.272736,261.272736
2006-02-26,267.207855,265.573730,269.848206,267.192169,270.751190,274.148926,262.176270,262.176270,262.176270,262.176270
2006-02-27,267.772278,265.905426,269.298523,267.928162,270.593414,274.622314,267.483673,267.483673,267.483673,267.483673
2006-02-28,269.057800,269.166443,272.768250,268.528595,268.799683,274.769958,264.946228,264.946228,264.946228,264.946228
2006-03-01,268.431763,271.483521,275.004730,271.555939,270.015778,272.058960,265.824036,265.824036,265.824036,265.824036
2006-03-02,260.091797,272.419739,276.008362,271.994476,271.215729,271.843231,265.577271,265.577271,265.577271,265.577271
2006-03-03,259.098267,268.494263,272.482208,271.835693,269.822601,271.448578,264.735779,264.735779,264.735779,264.735779
2006-03-04,263.170197,267.400146,267.733521,271.753845,270.781219,271.116486,266.401794,266.401794,266.401794,266.401794
2006-03-05,259.484100,269.580353,271.051239,271.890350,272.950317,271.702271,270.743774,270.743774,270.743774,270.743774
2006-03-06,264.113098,273.709778,274.933502,273.330383,275.541687,273.017395,266.891846,266.891846,266.891846,266.891846
2006-03-07,260.678528,272.025879,269.848633,273.980469,275.059906,272.831451,266.730957,266.730957,266.730957,266.730957
2006-03-08,259.553345,272.223877,270.580902,274.975037,273.880646,271.711426,270.891296,270.891296,270.891296,270.891296
2006-03-09,261.994415,274.484528,271.988403,274.455566,273.237640,272.238586,271.030457,271.030457,271.030457,271.030457
2006-03-10,263.361847,271.782104,271.732697,275.145355,271.984375,274.262726,271.213165,271.213165,271.213165,271.213165
2006-03-11,263.154755,268.207733,272.047607,266.228851,270.262665,271.993835,270.538574,270.538574,270.538574,270.538574
2006-03-12,265.989227,269.838501,272.070496,268.147034,269.688080,271.981842,270.650513,270.650513,270.650513,270.650513
2006-03-13,266.777374,271.819092,272.530060,274.276276,269.648071,271.770844,271.718384,271.718384,271.718384,271.718384
2006-03-14,266.962433,271.058624,274.069031,274.173828,271.651550,271.067078,273.390228,273.390228,273.390228,273.390228
2006-03-15,267.052277,272.567627,275.765533,277.217865,271.553955,272.235565,269.817993,269.817993,269.817993,269.817993
2006-03-16,269.773132,276.981781,272.544220,274.233368,269.677338,272.796326,273.513123,273.513123,273.513123,273.513123
2006-03-17,270.437256,271.457367,269.462097,272.384888,270.064331,273.994324,273.285095,273.285095,273.285095,273.285095
2006-03-18,267.069214,269.852814,275.610138,269.310883,271.742279,275.629089,275.750336,275.750336,275.750336,275.750336
2006-03-19,267.046448,270.894836,271.129761,266.788116,270.411011,271.890106,276.442139,276.442139,276.442139,276.442139
2006-03-20,267.023468,273.252014,272.573456,268.009155,273.924957,271.443024,274.656494,274.656494,274.656494,274.656494
2006-03-21,270.891113,270.285004,273.110901,268.536926,272.941803,274.614746,273.031647,273.031647,273.031647,273.031647
2006-03-22,274.144775,270.954407,274.497681,269.342529,274.864075,271.063782,270.394897,270.394897,270.394897,270.394897
2006-03-23,272.284027,272.468201,272.267578,272.469849,274.989960,271.893463,270.757385,270.757385,270.757385,270.757385
2006-03-24,273.011963,270.472015,269.613129,270.761505,270.841614,273.709656,269.206451,269.206451,269.206451,269.206451
2006-03-25,269.290680,271.868042,274.549866,275.759888,272.080902,273.142914,271.172211,271.172211,271.172211,271.172211
2006-03-26,267.436279,272.394897,271.170288,277.088348,270.420013,270.630615,271.299500,271.299500,271.299500,271.299500
2006-03-27,268.162750,268.929657,268.269897,271.777832,271.404816,270.239746,271.384521,271.384521,271.384521,271.384521
2006-03-28,269.920654,267.889496,270.380310,272.257263,273.304626,273.560974,270.939697,270.939697,270.939697,270.939697
2006-03-29,269.320404,269.367828,272.332062,272.179718,271.954041,271.460907,270.758362,270.758362,270.758362,270.758362
2006-03-30,267.143433,268.749664,275.166779,273.888184,272.080872,272.593842,271.177307,271.177307,271.177307,271.177307
2006-03-31,268.611359,272.315247,276.736816,271.955109,275.142975,272.033081,272.098694,272.098694,272.098694,272.098694
2006-04-01,272.653961,272.638153,276.313904,271.883881,271.652344,272.266541,272.344513,272.344513,272.344513,272.344513
2006-04-02,264.670746,269.358582,269.936340,267.944092,278.766296,274.705261,271.827484,271.827484,271.827484,271.827484
2006-04-03,264.544464,269.195221,270.126160,266.334991,274.843384,273.725403,268.352051,268.352051,268.352051,268.352051
2006-04-04,269.095520,267.984833,273.244354,268.250305,269.762177,271.407776,271.822449,271.822449,271.822449,271.822449
2006-04-05,270.128571,273.232483,277.091248,271.499268,268.583069,273.764771,271.594086,271.594086,271.594086,271.594086
2006-04-06,273.618286,268.957397,273.294647,267.851562,275.297150,270.188873,273.348816,273.348816,273.348816,273.348816
2006-04-07,267.290924,271.815704,270.028290,266.874908,272.283966,271.109589,273.343719,273.343719,273.343719,273.343719
2006-04-08,273.265411,274.903961,273.532593,264.429626,270.451752,272.311127,273.362610,273.362610,273.362610,273.362610
2006-04-09,274.537323,273.329865,278.702545,269.488007,268.574280,272.884552,270.355255,270.355255,270.355255,270.355255
2006-04-10,275.530640,271.832092,278.317719,275.568298,269.146362,272.939789,273.502686,273.502686,273.502686,273.502686
2006-04-11,274.813019,270.048279,273.861877,273.987762,269.660553,273.234528,270.638885,270.638885,270.638885,270.638885
2006-04-12,267.749451,267.622772,274.388397,271.567352,274.136108,272.940033,271.722260,271.722260,271.722260,271.722260
2006-04-13,267.703278,273.346375,274.491302,272.765320,275.230225,271.104401,274.600555,274.600555,274.600555,274.600555
2006-04-14,270.135834,271.124481,271.512085,274.676270,275.471985,273.715607,278.474304,278.474304,278.474304,278.474304
2006-04-15,275.773651,271.543182,273.658508,277.483276,278.602631,273.501404,274.142120,274.142120,274.142120,274.142120
2006-04-16,271.948975,275.696320,272.097931,276.755615,278.254517,275.383972,275.990967,275.990967,275.990967,275.990967
2006-04-17,271.963562,273.811890,268.735657,275.624390,275.851593,277.328552,282.076294,282.076294,282.076294,282.076294
2006-04-18,271.191284,275.039368,273.383179,273.435760,279.396271,275.771240,280.872437,280.872437,280.872437,280.872437
2006-04-19,269.795380,273.552948,278.953827,273.924774,280.672485,271.394348,280.122223,280.122223,280.122223,280.122223
2006-04-20,267.655457,273.109833,276.705627,275.513885,276.664429,278.177155,274.561279,274.561279,274.561279,274.561279
2006-04-21,267.345612,271.675232,275.797668,275.225647,275.448853,277.023712,272.697083,272.697083,272.697083,272.697083
2006-04-22,266.215149,273.820099,270.322845,273.624390,272.605286,276.028198,270.034790,270.034790,270.034790,270.034790
2006-04-23,267.785400,272.921112,272.427887,272.337524,271.703461,275.906616,276.805511,276.805511,276.805511,276.805511
2006-04-24,273.810883,271.732483,272.938629,269.869781,270.621307,275.772491,279.325439,279.325439,279.325439,279.325439
2006-04-25,273.312683,276.221191,272.225311,272.097839,272.838959,275.783813,278.802521,278.802521,278.802521,278.802521
2006-04-26,270.545044,276.120361,272.977783,279.143097,274.543091,277.879547,276.254181,276.254181,276.254181,276.254181
2006-04-27,276.138519,275.189148,274.743317,278.386566,275.563995,278.628876,275.191071,275.191071,275.191071,275.191071
2006-04-28,275.164215,271.827087,274.376434,271.910858,279.025879,278.797089,275.183228,275.183228,275.183228,275.183228
2006-04-29,278.041046,271.550537,273.654633,270.881256,279.480896,278.703918,277.812622,277.812622,277.812622,277.812622
2006-04-30,275.302155,271.589355,275.796265,273.111664,271.248596,279.145874,279.491547,279.491547,279.491547,279.491547
2006-05-01,276.439178,276.314362,274.760223,271.362885,267.807343,276.759430,274.633881,274.633881,274.633881,274.633881
2006-05-02,278.724030,280.692261,279.257202,271.305634,269.331543,277.365417,274.252930,274.252930,274.252930,274.252930
2006-05-03,278.894348,279.572876,278.910431,273.692963,272.767242,277.222748,275.892670,275.892670,275.892670,275.892670
2006-05-04,280.013672,279.586517,277.485168,273.300964,277.032471,273.944427,275.449738,275.449738,275.449738,275.449738
2006-05-05,280.682312,276.207764,274.542175,270.101349,278.544220,272.177460,274.327393,274.327393,274.327393,274.327393
2006-05-06,276.376068,274.139252,274.640106,274.535187,275.404327,273.423004,270.320007,270.320007,270.320007,270.320007
2006-05-07,274.060486,274.134308,280.101746,277.402405,274.491302,275.999725,269.455109,269.455109,269.455109,269.455109
2006-05-08,271.347412,275.401520,279.098145,273.424225,274.555450,276.526459,272.402466,272.402466,272.402466,272.402466
2006-05-09,273.098297,275.350128,272.796051,272.588440,268.249084,274.866699,272.826294,272.826294,272.826294,272.826294
2006-05-10,274.072052,274.733032,274.023682,268.036346,271.877319,280.217896,272.777496,272.777496,272.777496,272.777496
2006-05-11,278.758667,275.346832,280.465637,269.599213,274.474701,279.548920,269.923096,269.923096,269.923096,269.923096
2006-05-12,280.448883,275.356689,279.280060,272.819916,270.533630,280.146057,270.790741,270.790741,270.790741,270.790741
