#Variables:
#rsds_CCSM4_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2M_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2G_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_HadGEM2-CC365_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_MIROC5_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_NorESM1-M_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_rsds_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,rsds_CCSM4_rcp85(Wm-2),rsds_GFDL-ESM2M_rcp85(Wm-2),rsds_GFDL-ESM2G_rcp85(Wm-2),rsds_HadGEM2-CC365_rcp85(Wm-2),rsds_MIROC5_rcp85(Wm-2),rsds_NorESM1-M_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2)"
""
yyyy-mm-dd,rsds_CCSM4_rcp85(Wm-2),rsds_GFDL-ESM2M_rcp85(Wm-2),rsds_GFDL-ESM2G_rcp85(Wm-2),rsds_HadGEM2-CC365_rcp85(Wm-2),rsds_MIROC5_rcp85(Wm-2),rsds_NorESM1-M_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2)
2006-02-28,111.478569,151.491501,183.685272,172.274429,119.701012,98.323318,132.661194,132.661194,132.661194,132.661194
2006-03-01,105.622276,186.595123,184.309113,188.803909,111.471771,128.170700,151.423096,151.423096,151.423096,151.423096
2006-03-02,113.102264,126.582512,157.219482,187.011353,133.096466,138.014450,66.001808,66.001808,66.001808,66.001808
2006-03-03,139.062683,91.220543,105.315414,185.464615,106.389534,115.258812,93.577370,93.577370,93.577370,93.577370
2006-03-04,167.406235,96.211510,150.320938,162.217163,74.025665,146.635849,58.636047,58.636047,58.636047,58.636047
2006-03-05,204.632599,132.954224,199.856094,127.610634,166.071487,169.643143,126.898857,126.898857,126.898857,126.898857
2006-03-06,203.880264,129.630051,175.302643,130.429703,129.133942,137.620071,162.362488,162.362488,162.362488,162.362488
2006-03-07,209.033737,162.833679,195.876968,169.174545,188.691269,119.144951,104.284508,104.284508,104.284508,104.284508
2006-03-08,195.907562,199.633041,164.844666,202.385971,102.469078,148.545471,66.390938,66.390938,66.390938,66.390938
2006-03-09,190.217621,153.583755,156.078262,207.625412,116.809669,160.543457,141.729553,141.729553,141.729553,141.729553
2006-03-10,165.576767,206.483566,162.074738,205.299484,126.244980,196.917755,76.513084,76.513084,76.513084,76.513084
2006-03-11,160.244308,208.999435,122.231659,200.199066,64.872406,204.194016,104.765152,104.765152,104.765152,104.765152
2006-03-12,175.639633,211.222214,142.935272,198.759064,126.001183,196.347107,89.930603,89.930603,89.930603,89.930603
2006-03-13,218.925964,138.115479,201.293869,158.137512,150.187088,216.935425,140.626099,140.626099,140.626099,140.626099
2006-03-14,218.996536,126.543892,198.805054,149.520370,123.046463,220.617111,147.680130,147.680130,147.680130,147.680130
2006-03-15,227.873184,131.580276,98.515182,182.471710,133.337631,219.473175,202.277863,202.277863,202.277863,202.277863
2006-03-16,229.892975,88.640526,141.432495,193.345276,204.476166,152.851501,205.437866,205.437866,205.437866,205.437866
2006-03-17,240.683090,127.945038,203.055176,96.229027,195.695511,167.753418,220.837204,220.837204,220.837204,220.837204
2006-03-18,240.683090,129.831299,220.480423,159.632111,163.384537,143.833664,226.585999,226.585999,226.585999,226.585999
2006-03-19,243.212311,155.008911,195.808380,210.298187,140.791077,170.946671,215.583237,215.583237,215.583237,215.583237
2006-03-20,245.888443,83.453888,164.346558,221.435959,196.363663,170.624878,193.703476,193.703476,193.703476,193.703476
2006-03-21,217.756592,98.367981,194.896332,202.471695,131.024918,161.239120,177.061600,177.061600,177.061600,177.061600
2006-03-22,194.818192,109.131409,183.409744,226.530731,184.458786,159.083130,215.533096,215.533096,215.533096,215.533096
2006-03-23,202.700577,214.941177,206.184036,129.852768,142.993500,193.706772,184.121719,184.121719,184.121719,184.121719
2006-03-24,261.951813,254.301880,234.207809,171.357239,169.710938,234.137695,185.668182,185.668182,185.668182,185.668182
2006-03-25,264.441193,259.052551,262.425873,191.322159,182.295227,158.480423,198.576691,198.576691,198.576691,198.576691
2006-03-26,263.774017,258.462097,227.202667,131.755981,175.880447,192.378799,263.296570,263.296570,263.296570,263.296570
2006-03-27,264.368774,262.455872,238.834152,207.750916,176.717102,209.136230,210.821411,210.821411,210.821411,210.821411
2006-03-28,267.611908,263.936768,254.895432,255.915909,184.297989,189.190140,157.481552,157.481552,157.481552,157.481552
