#Variables:
#tasmax_CCSM4_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC5_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3384, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_CCSM4_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2G_rcp45(K),tasmax_HadGEM2-CC365_rcp45(K),tasmax_MIROC5_rcp45(K),tasmax_NorESM1-M_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K)"
""
yyyy-mm-dd,tasmax_CCSM4_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2G_rcp45(K),tasmax_HadGEM2-CC365_rcp45(K),tasmax_MIROC5_rcp45(K),tasmax_NorESM1-M_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K)
2006-02-24,281.986328,275.950287,285.441437,286.043945,291.449799,291.100861,281.356842,281.356842,281.356842,281.356842
2006-02-25,283.085175,275.955505,284.965149,286.524536,286.462006,291.070618,273.897736,273.897736,273.897736,273.897736
2006-02-26,282.692047,275.759125,287.749451,283.920502,284.241608,291.429108,275.689392,275.689392,275.689392,275.689392
2006-02-27,283.232971,277.435699,288.050934,280.611176,284.395508,291.449402,277.086212,277.086212,277.086212,277.086212
2006-02-28,282.614105,281.527924,291.531952,284.511078,284.975555,290.889832,275.660370,275.660370,275.660370,275.660370
2006-03-01,281.673920,281.718719,294.312378,286.633820,285.209259,290.633850,275.714325,275.714325,275.714325,275.714325
2006-03-02,277.217621,283.839355,294.072113,286.557251,283.008118,289.692780,277.969177,277.969177,277.969177,277.969177
2006-03-03,275.071106,281.041840,288.767639,288.183899,283.383850,289.927216,283.709320,283.709320,283.709320,283.709320
2006-03-04,275.674286,277.471985,283.343079,290.373840,286.998871,289.360443,286.711517,286.711517,286.711517,286.711517
2006-03-05,278.037476,282.544708,291.970093,292.246887,288.964905,290.219116,286.349274,286.349274,286.349274,286.349274
2006-03-06,278.564178,286.200562,292.462555,294.572968,290.412140,291.174591,284.025299,284.025299,284.025299,284.025299
2006-03-07,277.420349,284.014252,286.588257,294.539978,288.748383,290.827087,280.150940,280.150940,280.150940,280.150940
2006-03-08,275.917877,285.727356,288.935638,293.488098,287.341614,291.429199,285.956909,285.956909,285.956909,285.956909
2006-03-09,281.038269,286.752991,291.056091,288.493469,286.885864,288.881256,289.586121,289.586121,289.586121,289.586121
2006-03-10,280.060638,285.789032,291.703339,285.589294,286.850891,288.262085,291.677551,291.677551,291.677551,291.677551
2006-03-11,276.200897,281.685150,291.301910,282.454376,285.718781,288.823212,292.940735,292.940735,292.940735,292.940735
2006-03-12,279.241241,283.160065,293.216827,287.733887,286.243103,288.732666,293.832336,293.832336,293.832336,293.832336
2006-03-13,279.403931,288.413330,294.056152,291.137207,285.773285,290.436371,294.110565,294.110565,294.110565,294.110565
2006-03-14,279.582642,288.807190,295.126862,288.964874,285.160461,291.797943,292.344055,292.344055,292.344055,292.344055
2006-03-15,279.559326,290.448059,295.159943,287.805695,284.155365,293.174225,290.029114,290.029114,290.029114,290.029114
2006-03-16,282.159760,290.994141,291.053802,285.659729,284.652679,293.900818,289.076080,289.076080,289.076080,289.076080
2006-03-17,281.893402,290.594330,288.070496,282.407074,285.647247,293.799347,286.013977,286.013977,286.013977,286.013977
2006-03-18,279.803223,285.440826,289.799927,280.097595,285.360168,292.643280,286.470398,286.470398,286.470398,286.470398
2006-03-19,280.186066,289.236053,288.272583,282.688293,285.533630,286.189148,286.909119,286.909119,286.909119,286.909119
2006-03-20,282.163605,287.440582,288.674652,283.193024,287.834686,286.922791,286.298035,286.298035,286.298035,286.298035
2006-03-21,284.955841,286.680939,289.472076,285.432587,288.680756,286.714600,283.670898,283.670898,283.670898,283.670898
2006-03-22,285.581299,284.571198,289.574829,286.464355,289.513550,283.790161,282.127319,282.127319,282.127319,282.127319
