#Variables:
#pr_CCSM4_rcp85(mm):Precipitation
#pr_GFDL-ESM2M_rcp85(mm):Precipitation
#pr_GFDL-ESM2G_rcp85(mm):Precipitation
#pr_HadGEM2-CC365_rcp85(mm):Precipitation
#pr_MIROC5_rcp85(mm):Precipitation
#pr_NorESM1-M_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_pr_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_CCSM4_rcp85(mm),pr_GFDL-ESM2M_rcp85(mm),pr_GFDL-ESM2G_rcp85(mm),pr_HadGEM2-CC365_rcp85(mm),pr_MIROC5_rcp85(mm),pr_NorESM1-M_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm)"
""
yyyy-mm-dd,pr_CCSM4_rcp85(mm),pr_GFDL-ESM2M_rcp85(mm),pr_GFDL-ESM2G_rcp85(mm),pr_HadGEM2-CC365_rcp85(mm),pr_MIROC5_rcp85(mm),pr_NorESM1-M_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm)
2006-02-25,1.792591,0.000000,0.000000,0.000000,0.000000,0.526425,0.000000,0.000000,0.000000,0.000000
2006-02-26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-27,0.518709,0.000000,0.000000,0.000000,0.000000,0.960663,0.000000,0.000000,0.000000,0.000000
2006-02-28,0.000000,0.000000,0.000000,0.000000,0.000000,3.289401,0.000000,0.000000,0.000000,0.000000
2006-03-01,0.000000,0.000000,0.000000,0.000000,2.286067,1.819991,0.000000,0.000000,0.000000,0.000000
2006-03-02,0.000000,0.000000,0.000000,0.000000,2.321924,0.000000,1.362285,1.362285,1.362285,1.362285
2006-03-03,2.033171,0.389762,0.000000,0.000000,0.000000,0.000000,1.767131,1.767131,1.767131,1.767131
2006-03-04,0.000000,0.000000,0.000000,0.000000,1.374894,0.000000,3.834182,3.834182,3.834182,3.834182
2006-03-05,0.000000,0.000000,0.000000,0.000000,0.485326,0.000000,6.793027,6.793027,6.793027,6.793027
2006-03-06,0.000000,0.000000,0.000000,1.370874,0.000000,1.072104,0.000000,0.000000,0.000000,0.000000
2006-03-07,0.000000,0.000000,0.000000,0.000000,0.000000,5.510616,6.495253,6.495253,6.495253,6.495253
2006-03-08,0.000000,0.000000,0.000000,0.000000,2.514215,4.582790,5.538845,5.538845,5.538845,5.538845
2006-03-09,0.000000,0.000000,0.000000,0.000000,0.708189,1.090206,6.527989,6.527989,6.527989,6.527989
2006-03-10,0.000000,0.000000,0.000000,0.000000,1.049207,1.112357,5.492211,5.492211,5.492211,5.492211
2006-03-11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.720793,2.720793,2.720793,2.720793
2006-03-12,0.000000,0.000000,2.326890,0.000000,0.000000,0.000000,2.492407,2.492407,2.492407,2.492407
2006-03-13,0.000000,0.000000,0.000000,0.000000,2.227711,0.000000,0.000000,0.000000,0.000000,0.000000
2006-03-14,0.000000,2.295774,0.000000,1.196365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-03-15,0.000000,1.305135,2.999268,0.000000,3.950812,0.000000,0.000000,0.000000,0.000000,0.000000
2006-03-16,0.000000,0.769860,3.005664,0.000000,0.388962,0.000000,0.000000,0.000000,0.000000,0.000000
2006-03-17,0.000000,3.425506,0.000000,8.656939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-03-18,0.000000,3.590030,0.000000,0.000000,0.000000,0.990823,0.000000,0.000000,0.000000,0.000000
2006-03-19,0.000000,0.000000,0.000000,0.000000,0.000000,5.735262,0.000000,0.000000,0.000000,0.000000
2006-03-20,0.000000,8.323590,0.302226,0.000000,0.000000,1.503619,0.000000,0.000000,0.000000,0.000000
