#Variables:
#tasmin_CCSM4_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_GFDL-ESM2M_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_GFDL-ESM2G_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_HadGEM2-CC365_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_MIROC5_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_NorESM1-M_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmin_CCSM4_rcp85(K),tasmin_GFDL-ESM2M_rcp85(K),tasmin_GFDL-ESM2G_rcp85(K),tasmin_HadGEM2-CC365_rcp85(K),tasmin_MIROC5_rcp85(K),tasmin_NorESM1-M_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K)"
""
yyyy-mm-dd,tasmin_CCSM4_rcp85(K),tasmin_GFDL-ESM2M_rcp85(K),tasmin_GFDL-ESM2G_rcp85(K),tasmin_HadGEM2-CC365_rcp85(K),tasmin_MIROC5_rcp85(K),tasmin_NorESM1-M_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K)
2006-02-24,277.965302,275.971619,270.052002,272.660614,271.360291,271.235840,269.256866,269.256866,269.256866,269.256866
2006-02-25,272.073822,275.274811,269.765472,273.745056,270.313446,270.396454,270.983093,270.983093,270.983093,270.983093
2006-02-26,271.323425,276.055145,268.796265,268.588684,270.427429,271.086395,271.273438,271.273438,271.273438,271.273438
2006-02-27,271.233063,277.379028,272.898560,269.446991,268.976959,270.963867,268.474579,268.474579,268.474579,268.474579
2006-02-28,270.512848,273.455475,268.482513,271.151001,270.292267,271.498138,270.143158,270.143158,270.143158,270.143158
2006-03-01,269.645142,271.997253,267.879303,269.221344,271.470886,270.841309,270.950500,270.950500,270.950500,270.950500
2006-03-02,270.679138,277.662231,271.492737,270.942017,269.850342,270.242554,274.351318,274.351318,274.351318,274.351318
2006-03-03,271.735107,277.002747,273.794434,270.262054,270.305267,271.887329,273.635406,273.635406,273.635406,273.635406
2006-03-04,268.319580,274.214813,271.773468,272.777313,272.960297,272.602081,272.689575,272.689575,272.689575,272.689575
2006-03-05,267.414154,273.751831,267.859802,275.968781,272.191010,272.909302,271.847717,271.847717,271.847717,271.847717
2006-03-06,268.260132,271.195496,268.334778,274.929169,272.258972,273.175323,269.885040,269.885040,269.885040,269.885040
2006-03-07,269.494080,273.519531,271.319611,271.741791,271.388794,273.464325,267.434448,267.434448,267.434448,267.434448
2006-03-08,271.816284,273.227509,271.779877,265.251038,276.857758,272.140411,274.388306,274.388306,274.388306,274.388306
2006-03-09,273.044312,275.421661,273.013733,265.369873,274.798096,271.463959,275.462646,275.462646,275.462646,275.462646
2006-03-10,269.676666,273.377838,272.809937,267.585114,273.358887,271.161072,274.315155,274.315155,274.315155,274.315155
2006-03-11,269.334259,272.896606,270.864166,268.388275,275.301422,270.463989,277.694214,277.694214,277.694214,277.694214
2006-03-12,268.533142,274.133270,271.628967,268.927551,276.336212,271.531342,275.500397,275.500397,275.500397,275.500397
2006-03-13,268.183105,275.181641,268.830841,271.898804,276.583069,269.865784,276.496338,276.496338,276.496338,276.496338
2006-03-14,268.387665,274.537292,269.753052,274.897400,272.533112,269.584229,276.550781,276.550781,276.550781,276.550781
2006-03-15,268.527130,274.594116,271.710907,274.431305,273.332947,269.901978,278.284790,278.284790,278.284790,278.284790
2006-03-16,268.283173,273.265045,271.307495,267.530914,270.958496,271.846924,274.481079,274.481079,274.481079,274.481079
2006-03-17,268.620636,275.068420,269.654114,273.699219,270.762543,273.506866,271.398804,271.398804,271.398804,271.398804
2006-03-18,269.732208,275.171844,266.812347,271.792053,271.408325,273.674591,271.891937,271.891937,271.891937,271.891937
2006-03-19,268.222473,272.074097,266.515289,268.106842,275.051544,273.841339,275.489227,275.489227,275.489227,275.489227
2006-03-20,268.488190,272.300018,271.433502,271.615540,271.558960,273.093018,274.443909,274.443909,274.443909,274.443909
2006-03-21,269.159088,278.948212,271.857208,274.349854,274.093719,271.881165,273.745636,273.745636,273.745636,273.745636
2006-03-22,271.493774,277.255554,268.067657,275.780731,273.692291,269.775238,272.859772,272.859772,272.859772,272.859772
